Ref,Val,Package,PosX,PosY,Rot,Side
"VOUT18","VOUT6","PinHeader_1x01_P1.00mm_Vertical",62.660000,49.190000,0.000000,top
"VOUT19","VOUT4","PinHeader_1x01_P1.00mm_Vertical",62.660000,55.190000,0.000000,top
"VOUT20","VOUT4","PinHeader_1x01_P1.00mm_Vertical",62.660000,53.190000,0.000000,top
"VOUT21","VOUT4","PinHeader_1x01_P1.00mm_Vertical",62.660000,47.190000,0.000000,top
"VOUT22","VOUT4","PinHeader_1x01_P1.00mm_Vertical",60.760000,58.290000,0.000000,top
"VOUT23","VOUT4","PinHeader_1x01_P1.00mm_Vertical",66.410000,42.940000,0.000000,top
"VOUT24","VOUT4","PinHeader_1x01_P1.00mm_Vertical",62.660000,51.190000,0.000000,top
"VOUT25","VOUT4","PinHeader_1x01_P1.00mm_Vertical",62.660000,45.190000,0.000000,top
"VOUT26","VOUT4","PinHeader_1x01_P1.00mm_Vertical",65.660000,40.440000,0.000000,top
"cr1","cr","PinHeader_1x01_P1.00mm_Vertical",18.410000,100.690000,0.000000,top
"cr2","cr","PinHeader_1x01_P1.00mm_Vertical",15.910000,100.690000,0.000000,top
"cr3","cr","PinHeader_1x01_P1.00mm_Vertical",43.160000,100.690000,0.000000,top
"cr4","cr","PinHeader_1x01_P1.00mm_Vertical",59.160000,100.690000,0.000000,top
"cr5","cr","PinHeader_1x01_P1.00mm_Vertical",68.660000,96.690000,0.000000,top
"cr6","cr","PinHeader_1x01_P1.00mm_Vertical",67.160000,100.690000,0.000000,top
"cr7","cr","PinHeader_1x01_P1.00mm_Vertical",64.160000,100.690000,0.000000,top
"cr8","cr","PinHeader_1x01_P1.00mm_Vertical",63.410000,96.690000,0.000000,top
"cr9","cr","PinHeader_1x01_P1.00mm_Vertical",49.910000,100.690000,0.000000,top
"cr10","cr","PinHeader_1x01_P1.00mm_Vertical",70.410000,100.690000,0.000000,top
"cr11","cr","PinHeader_1x01_P1.00mm_Vertical",65.810000,96.690000,0.000000,top
"cr12","cr","PinHeader_1x01_P1.00mm_Vertical",50.160000,95.440000,0.000000,top
"cr13","cr","PinHeader_1x01_P1.00mm_Vertical",92.160000,100.690000,0.000000,top
"cr14","cr","PinHeader_1x01_P1.00mm_Vertical",73.410000,100.690000,0.000000,top
"cr15","cr","PinHeader_1x01_P1.00mm_Vertical",76.660000,100.690000,0.000000,top
"cr16","cr","PinHeader_1x01_P1.00mm_Vertical",89.910000,100.690000,0.000000,top
"cr17","cr","PinHeader_1x01_P1.00mm_Vertical",90.410000,97.190000,0.000000,top
"cr18","cr","PinHeader_1x01_P1.00mm_Vertical",119.410000,100.690000,0.000000,top
"cr19","cr","PinHeader_1x01_P1.00mm_Vertical",112.160000,100.690000,0.000000,top
"cr20","cr","PinHeader_1x01_P1.00mm_Vertical",115.660000,100.690000,0.000000,top
"cr21","cr","PinHeader_1x01_P1.00mm_Vertical",138.910000,97.440000,0.000000,top
"cr22","cr","PinHeader_1x01_P1.00mm_Vertical",138.910000,100.690000,0.000000,top
